rank + name	pos + rk	tm	snap%	PPR FPs	FPs pos rk	FPs rk
254. Dillon Gabriel	QB	CLE	56.55	7.01	46	46
255. Savion Williams	WR	GB	10.40	2.13	154	311
256. Jalen McMillan	WR	TB	52.55	4.70	99	208
257. Elijah Mitchell	RB	KC	8.57	0	131	459
258. Hunter Renfrow	WR	CAR	49.38	5.98	81	171
259. Trevor Etienne	RB	CAR	4.53	0.91	109	385
260. Jaleel McLaughlin	RB	DEN	13.03	3.51	77	247
261. Russell Wilson	QB	NYG	54.23	8.31	45	45
262. Ty Johnson	RB	BUF	28.87	4.86	64	202
263. Jalen Royals	WR	KC	-	0	212	459
264. Roman Wilson	WR	PIT	34.92	3.22	130	267
265. Ray-Ray McCloud	WR	ATL	53.41	2.32	148	297
266. Tyler Lockett	WR	TEN	49.96	3.78	115	237
267. Devaughn Vele	WR	DEN	42.73	5.10	95	195
268. Anthony Richardson	QB	IND	9	1.08	59	59
269. Tutu Atwell	WR	LAR	32.10	3.54	121	245
270. Jake Browning	QB	CIN	73.16	9.75	43	43
271. Jalen Milroe	QB	SEA	1.77	-0.53	79	79
272. Malik Willis	QB	GB	27.79	6.55	47	47
273. Kenny Pickett	QB	CLE	35.90	2.02	56	56
